time,price_dollars,side,qty
2020-01-13 09:30:00.023775898,997.75,BID,20
2020-01-13 09:30:00.023775898,997.78,BID,46
2020-01-13 09:30:00.023775898,997.86,BID,39
2020-01-13 09:30:00.023775898,997.87,BID,44
2020-01-13 09:30:00.023775898,997.89,BID,65
2020-01-13 09:30:00.023775898,997.91,BID,2177
2020-01-13 09:30:00.023775898,998.03,BID,34
2020-01-13 09:30:00.023775898,998.12,BID,23
2020-01-13 09:30:00.023775898,998.13,BID,28
2020-01-13 09:30:00.023775898,998.14,BID,41
2020-01-13 09:30:00.023775898,998.16,BID,11
2020-01-13 09:30:00.023775898,998.59,BID,402
2020-01-13 09:30:00.023775898,999.45,ASK,262
2020-01-13 09:30:00.023775898,999.8,ASK,21
2020-01-13 09:30:00.023775898,999.84,ASK,31
2020-01-13 09:30:00.023775898,1000.18,ASK,47
2020-01-13 09:30:00.023775898,1000.35,ASK,32
2020-01-13 09:30:00.023775898,1000.66,ASK,22
2020-01-13 09:30:00.023775898,1000.8,ASK,49
2020-01-13 09:30:00.024916912,997.24,BID,42
2020-01-13 09:30:00.024916912,997.25,BID,21
2020-01-13 09:30:00.024916912,997.31,BID,48
2020-01-13 09:30:00.024916912,997.37,BID,34
2020-01-13 09:30:00.024916912,997.44,BID,26
2020-01-13 09:30:00.024916912,997.48,BID,40
2020-01-13 09:30:00.024916912,997.6,BID,27
2020-01-13 09:30:00.024916912,997.72,BID,23
2020-01-13 09:30:00.024916912,997.75,BID,20
2020-01-13 09:30:00.024916912,997.78,BID,46
2020-01-13 09:30:00.024916912,997.86,BID,39
2020-01-13 09:30:00.024916912,997.87,BID,44
2020-01-13 09:30:00.024916912,997.89,BID,65
2020-01-13 09:30:00.024916912,997.91,BID,2177
2020-01-13 09:30:00.024916912,998.03,BID,34
2020-01-13 09:30:00.024916912,998.05,BID,34
2020-01-13 09:30:00.024916912,998.12,BID,23
2020-01-13 09:30:00.024916912,998.13,BID,28
2020-01-13 09:30:00.024916912,998.14,BID,41
2020-01-13 09:30:00.024916912,998.16,BID,11
2020-01-13 09:30:00.024916912,998.28,BID,48
2020-01-13 09:30:00.024916912,998.5,BID,37
2020-01-13 09:30:00.024916912,998.59,BID,309
2020-01-13 09:30:00.024916912,999.45,ASK,262
2020-01-13 09:30:00.024916912,999.8,ASK,21
2020-01-13 09:30:00.024916912,999.84,ASK,31
2020-01-13 09:30:00.024916912,1000.18,ASK,47
2020-01-13 09:30:00.024916912,1000.35,ASK,32
2020-01-13 09:30:00.024916912,1000.66,ASK,22
2020-01-13 09:30:00.024916912,1000.8,ASK,49
2020-01-13 09:30:00.025913753,997.24,BID,42
2020-01-13 09:30:00.025913753,997.25,BID,21
2020-01-13 09:30:00.025913753,997.31,BID,48
2020-01-13 09:30:00.025913753,997.37,BID,34
2020-01-13 09:30:00.025913753,997.44,BID,26
2020-01-13 09:30:00.025913753,997.48,BID,40
2020-01-13 09:30:00.025913753,997.6,BID,27
2020-01-13 09:30:00.025913753,997.72,BID,23
2020-01-13 09:30:00.025913753,997.75,BID,20
2020-01-13 09:30:00.025913753,997.78,BID,46
2020-01-13 09:30:00.025913753,997.86,BID,39
2020-01-13 09:30:00.025913753,997.87,BID,44
2020-01-13 09:30:00.025913753,997.89,BID,65
2020-01-13 09:30:00.025913753,997.91,BID,2177
2020-01-13 09:30:00.025913753,998.03,BID,34
2020-01-13 09:30:00.025913753,998.05,BID,34
2020-01-13 09:30:00.025913753,998.12,BID,93
2020-01-13 09:30:00.025913753,998.13,BID,28
